ID,Player,Username,Season,Age,Born,Tm,Lg,WS,G,GS,MP,PER,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,OWS,DWS,WS/48,OBPM,DBPM,BPM,VORP
88,Matthew Dellavedova,dellama01,2018-19,28,au,TOT,NBA,0.5,48,0,812,11.1,0.537,0.215,0.8,9.9,5.2,31.9,0.8,0.2,20.4,17.9,107,119,0.5,0,0.028,-1.3,-4.1,-5.5,-0.7
89,Guerschon Yabusele,yabusgu01,2018-19,23,fr,BOS,NBA,0.5,41,1,251,12.4,0.364,0.286,9.8,12.8,11.3,8.2,1.5,2.5,14.8,17.5,108,109,0.2,0.3,0.09,-2.1,-0.1,-2.1,0
90,Andrew Bogut,bogutan01,2018-19,34,au,GSW,NBA,0.3,11,5,134,13.4,0,0.083,10,32.8,21.9,10.6,1.1,5,17.7,14.5,107,104,0.1,0.2,0.111,-4.3,3.1,-1.3,0
91,Skal Labissière,labissk01,2018-19,22,ht,TOT,NBA,0.3,22,1,176,12.6,0.265,0.347,5.4,20.3,12.8,8.6,1.4,2.8,16.3,16,108,109,0.1,0.2,0.089,-2.4,0.6,-1.8,0
92,Mitch Creek,creekmi01,2018-19,26,au,TOT,NBA,0.2,5,0,48,20.2,0.125,0.438,13.2,13.1,13.2,18.6,2,0,5,17.6,129,111,0.1,0,0.196,1.9,-0.3,1.7,0
93,Timothé Luwawu-Cabarrot,luwawti01,2018-19,23,fr,TOT,NBA,0.2,50,7,669,8,0.532,0.188,1.7,14.1,7.8,5.5,1.4,1,8.2,16.6,97,113,-0.3,0.5,0.015,-3.3,-1.7,-5,-0.5
94,Moritz Wagner,wagnemo01,2018-19,21,de,LAL,NBA,0.2,43,5,446,10.1,0.45,0.31,4,15.4,9.8,7.4,1.1,2.4,16.7,21.7,96,110,-0.3,0.5,0.02,-4,-1.1,-5.1,-0.3
95,Dillon Brooks,brookdi01,2018-19,23,ca,MEM,NBA,0,18,0,330,7.6,0.328,0.246,3,7.6,5.3,7.6,1.5,1.1,12.3,20.9,94,112,-0.3,0.3,-0.004,-4.2,-1.9,-6.1,-0.3
96,Ángel Delgado,delgaan01,2018-19,24,do,LAC,NBA,0,2,0,15,4.3,0,0.4,14.6,13.7,14.1,0,3.1,0,0,16.5,78,109,0,0,-0.055,-8.7,-4,-12.7,0
97,Luc Mbah a Moute,mbahalu01,2018-19,32,cm,LAC,NBA,0,4,0,61,6.7,0.333,0.278,3.6,8.4,6.1,4.5,0.8,1.3,9,15.4,98,115,0,0,0.009,-3.3,-2.1,-5.4,-0.1
98,Zhou Qi,qizh01,2018-19,23,cn,HOU,NBA,0,1,0,1,80.4,0,0,0,0,0,0,0,0,0,43.4,200,120,0,0,1.261,22.1,-12.6,9.5,0
99,Kostas Antetokounmpo,antetko01,2018-19,21,gr,DAL,NBA,-0.1,2,0,11,-0.9,0,1.333,0,9.7,4.9,0,8.8,0,17.4,22.5,39,97,-0.1,0,-0.247,-15.9,2.7,-13.3,0
100,Isaac Bonga,bongais01,2018-19,19,de,LAL,NBA,-0.1,22,0,120,6,0.242,0.455,7.9,13.5,10.8,14.9,3.5,2.7,13.2,15.7,73,105,-0.3,0.2,-0.059,-7.3,3,-4.3,-0.1
101,Mario Hezonja,hezonma01,2018-19,23,hr,NYK,NBA,-0.1,58,24,1206,10.8,0.328,0.246,2.4,18.7,10.4,11.5,2.3,0.6,14.6,21.3,94,112,-1.1,1.1,-0.003,-3.6,-0.4,-4,-0.6
102,Isaac Humphries,humphis01,2018-19,21,au,ATL,NBA,-0.1,5,1,56,3.4,0.524,0,7.4,13.4,10.3,0,0.8,0,0,15.2,87,117,-0.1,0,-0.047,-6.5,-6.3,-12.8,-0.2
103,Naz Mitrou-Long,mitrona01,2018-19,25,ca,UTA,NBA,-0.1,14,0,84,2.2,0.55,0.1,1.3,6.3,3.9,23.3,0.6,0.9,27.7,14.7,81,111,-0.2,0.1,-0.046,-7,-1.9,-8.9,-0.1
104,Donatas Motiejūnas,motiedo01,2018-19,28,lt,SAS,NBA,-0.1,3,0,13,-0.5,0,0.333,16.9,8.3,12.6,11.9,0,6.5,30.4,33.5,72,111,-0.1,0,-0.246,-11.2,-0.3,-11.5,0
105,Džanan Musa,musadz01,2018-19,19,ba,BRK,NBA,-0.1,9,0,39,5.8,0.455,0.091,2.7,10.7,6.7,8.6,2.4,0,14.9,29,75,110,-0.2,0,-0.152,-7.6,-2.8,-10.4,-0.1
106,Sviatoslav Mykhailiuk,mykhasv01,2018-19,21,ua,TOT,NBA,-0.1,42,0,440,6,0.636,0.143,2.2,6.2,4.2,10.9,1.5,0.2,12.4,16,92,113,-0.4,0.3,-0.012,-3.6,-2.1,-5.7,-0.4
107,Miloš Teodosić,teodomi01,2018-19,31,rs,LAC,NBA,-0.1,15,0,150,6.5,0.675,0.175,2.2,8.9,5.7,28.8,0.9,0.5,32.8,18,94,115,-0.1,0.1,-0.019,-2.9,-3.2,-6.1,-0.2
108,Deng Adel,adelde01,2018-19,21,ss,CLE,NBA,-0.2,19,3,194,2.7,0.639,0.111,1.6,9.6,5.4,3.4,0.3,1.8,13.7,9.9,85,121,-0.2,0,-0.054,-5.3,-2,-7.3,-0.3
109,Dairis Bertāns,bertada02,2018-19,29,lv,NOP,NBA,-0.2,12,0,167,2,0.723,0,1.3,4.3,2.8,7.2,0.3,0,4.1,12,86,120,-0.2,0,-0.054,-4.2,-3.5,-7.7,-0.2
110,Yuta Watanabe,watanyu01,2018-19,24,jp,MEM,NBA,-0.2,15,0,174,3.3,0.314,0.196,2.5,17.7,10,6.6,1.1,0.5,9.8,15.8,76,111,-0.4,0.2,-0.065,-8.2,-1.2,-9.3,-0.3
111,Elie Okobo,okoboel01,2018-19,21,fr,PHO,NBA,-0.5,53,16,958,7.6,0.455,0.162,1.4,10.1,5.7,18.7,1.6,0.6,18.2,17,94,117,-0.7,0.2,-0.027,-3.7,-2.2,-5.9,-0.9
112,Frank Ntilikina,ntilila01,2018-19,20,be,NYK,NBA,-0.8,43,16,904,6,0.408,0.106,1.4,8.9,5,19.5,1.6,1.3,15.9,16.6,88,115,-1.3,0.4,-0.045,-4.5,-1.2,-5.7,-0.8
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
